index,response,left_tissue,right_tissue,normalized_overlap_trace_mean,normalized_overlap_trace_std,overlap_effective_rank_mean,overlap_effective_rank_std,supported_contrast_fraction_mean,supported_contrast_fraction_std,overlap_weighted_head_energy_mean,overlap_weighted_head_energy_std,pairwise_penalty_contribution_mean,pairwise_penalty_contribution_std,overlap_eigenvalue_1_mean,overlap_eigenvalue_1_std,overlap_eigenvalue_2_mean,overlap_eigenvalue_2_std,overlap_eigenvalue_3_mean,overlap_eigenvalue_3_std,overlap_eigenvalue_4_mean,overlap_eigenvalue_4_std,overlap_eigenvalue_5_mean,overlap_eigenvalue_5_std,overlap_eigenvalue_6_mean,overlap_eigenvalue_6_std,overlap_eigenvalue_7_mean,overlap_eigenvalue_7_std,overlap_eigenvalue_8_mean,overlap_eigenvalue_8_std
25,JAM2,brain_caudate_basal_ganglia,brain_putamen_basal_ganglia,0.7920667083108279,0.03363770102137551,2.1710260063143836,0.22772526850622923,0.7710672724535133,0.03266906552598455,0.06248119414865858,0.013999367342079695,9.65591670827966e-05,2.4959736119626195e-05,2.9326438136715804,0.6743905522941609,0.7252472158899256,0.2227880627057351,0.31335113842661055,0.07406976738308733,0.19565422473745092,0.04227984097646424,0.1205120399829465,0.021801289986178234,0.07594358760507684,0.01153284291127445,0.048326664238744,0.007057164051500735,0.0279928027961245,0.003413121145919637
26,JAM2,brain_caudate_basal_ganglia,brain_spinal_cord_cervical_c-1,0.4135206103243103,0.06308158520274572,3.881364575570936,0.44296330990462285,0.3705110150288916,0.07481774200182323,0.10353290160011108,0.03174593767398002,9.024332283316832e-05,1.873871611330281e-05,1.2172990402291388,0.35425434035828035,0.4992358682576869,0.13514951566153696,0.3231007936391087,0.08548542171997496,0.20990763103677018,0.050279880674986406,0.13290414110991486,0.025847357135882865,0.08470313493535295,0.01390173778023561,0.05345884021345078,0.007154454443344999,0.03280154750233991,0.004899432374518713
27,JAM2,brain_cerebellar_hemisphere,brain_cerebellum,0.5699926671129438,0.049503108976160705,2.4674656151596563,0.19522268883590893,0.5298473310252548,0.05724892188269444,0.12934798514191814,0.03223750779782416,0.00017991818597765655,5.9304462533180234e-05,2.196801252133821,0.4665637003120089,0.8434763019747697,0.20291663697121554,0.28033265405510804,0.08627678888689125,0.1605870283983053,0.03898522574197461,0.1021554855719445,0.023644796370391366,0.06243971094259824,0.011979388513916306,0.03791801901093491,0.005521607520192558,0.02209701300412258,0.003986848650515068
28,JAM2,brain_cerebellar_hemisphere,brain_cortex,0.31433755685300657,0.05424617215368872,4.348636386020736,0.42260662590635445,0.4088585391612159,0.08716251672404753,0.10458802316466712,0.03787682752997888,0.00010424359019465964,2.5424479314931515e-05,0.7781395820503338,0.27233157220493903,0.4044866388476505,0.11615484441539962,0.2551377163502677,0.07239927050822521,0.16356537187236728,0.03363437521604885,0.10540012777309322,0.019094879270535665,0.06489971030107684,0.011431986725352563,0.0417737722865221,0.004943051170570696,0.024695011984524402,0.004130214253417001
29,JAM2,brain_cerebellar_hemisphere,brain_frontal_cortex_ba9,0.335020418466743,0.06160630167488139,4.330098148280941,0.5271188503477582,0.41538967706270424,0.07880000714424347,0.12818995355571047,0.046916660922897466,0.00012207307316314787,1.9916763191605145e-05,0.8711657047092501,0.38751678310021387,0.43585061778270273,0.13090549396809117,0.27127888791713756,0.06824348556027877,0.17578346357060642,0.03667527824641627,0.11192336420345869,0.02130335460089586,0.06893115241943146,0.010806358354978205,0.04350836725350911,0.005988405240840029,0.025514620142350886,0.004574310849472219
30,JAM2,brain_cerebellar_hemisphere,brain_hypothalamus,0.3595586028701502,0.06551296761967534,4.101163439298636,0.4261892902105162,0.42002304994063405,0.0887346621875822,0.058531230246076295,0.02669912528207669,5.663669658320579e-05,1.7872257352158214e-05,1.0216688334285302,0.37315869576806665,0.4937081458410149,0.13018166389329505,0.29091739691692003,0.07226062489615846,0.18984943946312183,0.04480861843511382,0.12109746918600166,0.024646340573434622,0.07695826354009173,0.013294121317508859,0.048716080213964494,0.007944931644758929,0.02848583125013051,0.005606591283556681
31,JAM2,brain_cerebellar_hemisphere,brain_nucleus_accumbens_basal_ganglia,0.30212076985913816,0.057673591228354575,4.323276837803397,0.49104675104380263,0.31785712236942326,0.07234743052046358,0.083155381972006,0.034047385054918375,7.523271539043259e-05,2.3543980154087486e-05,0.8918234743124239,0.3243967903512324,0.46155222876911733,0.12798748315287595,0.28117692172672604,0.06855202853451053,0.18090106124040245,0.042291444281610344,0.11553010595031074,0.02326564850253649,0.07519536939385893,0.013103539650694485,0.04599348026085783,0.005829727381899524,0.027641894244066812,0.004651308789764772
32,JAM2,brain_cerebellar_hemisphere,brain_putamen_basal_ganglia,0.30505688340101533,0.06305886936865567,4.229434679069626,0.5183480602627388,0.31855677195001125,0.09732343898322919,0.05713960578134658,0.021147750315619038,5.107283767030801e-05,1.5269970024992584e-05,0.9475126325576948,0.4151335669779165,0.4139326412851637,0.12726195279001926,0.2659772683710566,0.06859486703500285,0.1720295896807104,0.037268788317654615,0.10979263066703708,0.020540861844812772,0.07026577215692978,0.010114826911463901,0.04469504686855392,0.006027514299537866,0.025934459477121957,0.0037968407315768886
33,JAM2,brain_cerebellar_hemisphere,brain_spinal_cord_cervical_c-1,0.3159460142696546,0.05793818197791337,4.135591793404866,0.392473766698662,0.38082606660448126,0.0840415413086167,0.05265422456161149,0.020574353281579593,5.7709597401172414e-05,1.7908085950514635e-05,0.9643304965121627,0.3088580143965987,0.4802548883926119,0.1394678558074286,0.2906802760754429,0.0657109746223932,0.18832708691356556,0.04339406769298414,0.12086233285041985,0.02267013719822114,0.07694892344632231,0.013277253009362507,0.047834454872773574,0.007453362072364993,0.028457188989227094,0.004854093509456083
34,JAM2,brain_cerebellum,brain_cortex,0.4090647297630456,0.07045929252933698,3.942920375126134,0.3638542090997172,0.45990345069558886,0.08839240748521147,0.09423277830284946,0.038586188113057945,9.782949012673682e-05,1.856887293963842e-05,1.0184912313238894,0.3286959919943591,0.45409485551968787,0.13294174835478906,0.2795490610454291,0.08705893264836177,0.16810142655308533,0.036621577126693984,0.10449417029784691,0.020112175470148416,0.06321240081328425,0.011159673412588023,0.040191253010739836,0.00525045137609996,0.024250242549203188,0.0038281422227809444
