method,tissue,standardized_mse,raw_mse,selected_coupling,fit_seconds,train,validation,test,response,test_fold,cv_repeat,standardized_sse,raw_sse
MMoE,brain_cerebellar_hemisphere,0.1012482957665666,0.0307167921857143,0.0,22.551827683113515,129,42,44,JAM2,0,0,4.45492501372893,1.3515388561714292
MMoE,brain_cerebellum,0.1860229238665717,0.044489816855419,0.0,22.551827683113515,142,46,53,JAM2,0,0,9.8592149649283,2.3579602933372072
MMoE,brain_cortex,0.4132052183709963,0.0790879497671694,0.0,22.551827683113515,150,49,56,JAM2,0,0,23.13949222877579,4.428925186961487
MMoE,brain_frontal_cortex_ba9,0.2784784317854233,0.0466027497101222,0.0,22.551827683113515,123,44,42,JAM2,0,0,11.69609413498778,1.9573154878251324
MMoE,brain_hypothalamus,0.4460488965059179,0.1138465249689975,0.0,22.551827683113515,121,39,42,JAM2,0,0,18.73405365324855,4.781554048697895
MMoE,brain_nucleus_accumbens_basal_ganglia,0.2935220819037429,0.0815933346390044,0.0,22.551827683113515,152,50,44,JAM2,0,0,12.914971603764688,3.5901067241161932
MMoE,brain_putamen_basal_ganglia,0.2736232351156917,0.069891834223924,0.0,22.551827683113515,119,44,42,JAM2,0,0,11.49217587485905,2.935457037404808
MMoE,brain_spinal_cord_cervical_c-1,0.1570134846785006,0.0991002732970236,0.0,22.551827683113515,95,27,37,JAM2,0,0,5.809498933104522,3.6667101119898735
HPS,brain_amygdala,0.2910541937919353,0.0821866988586793,0.0,5.559932986274362,96,28,28,JAM2,0,0,8.149517426174189,2.3012275680430205
HPS,brain_anterior_cingulate_cortex_ba24,0.2895503505066346,0.0487153382241162,0.0,5.559932986274362,109,34,33,JAM2,0,0,9.55516156671894,1.6076061613958346
HPS,brain_caudate_basal_ganglia,0.1705813207413173,0.0440210931266242,0.0,5.559932986274362,147,47,52,JAM2,0,0,8.8702286785485,2.2890968425844584
HPS,brain_cerebellar_hemisphere,0.1153519367082471,0.0349955665056924,0.0,5.559932986274362,129,42,44,JAM2,0,0,5.075485215162873,1.5398049262504658
HPS,brain_cerebellum,0.1385298399949855,0.0331312242721657,0.0,5.559932986274362,142,46,53,JAM2,0,0,7.342081519734231,1.755954886424782
HPS,brain_cortex,0.4281427774350179,0.0819470155978404,0.0,5.559932986274362,150,49,56,JAM2,0,0,23.975995536361,4.589032873479063
HPS,brain_frontal_cortex_ba9,0.2793098273576047,0.046741881920513,0.0,5.559932986274362,123,44,42,JAM2,0,0,11.731012749019396,1.963159040661546
HPS,brain_hypothalamus,0.3400685569184192,0.0867968147879279,0.0,5.559932986274362,121,39,42,JAM2,0,0,14.282879390573607,3.645466221092972
HPS,brain_nucleus_accumbens_basal_ganglia,0.2955417257293037,0.0821547556859041,0.0,5.559932986274362,152,50,44,JAM2,0,0,13.003835932089363,3.61480925017978
HPS,brain_putamen_basal_ganglia,0.1904371291602004,0.0486435307868393,0.0,5.559932986274362,119,44,42,JAM2,0,0,7.998359424728417,2.0430282930472505
HPS,brain_spinal_cord_cervical_c-1,0.1709126917690002,0.1078728651804585,0.0,5.559932986274362,95,27,37,JAM2,0,0,6.323769595453007,3.9912960116769645
COVER,brain_amygdala,0.2864713499127811,0.0808926140530103,0.1,20.465119944885373,96,28,28,JAM2,0,0,8.021197797557871,2.2649931934842886
COVER,brain_anterior_cingulate_cortex_ba24,0.3233960000060196,0.0544096924526381,0.1,20.465119944885373,109,34,33,JAM2,0,0,10.672068000198646,1.7955198509370573
