left_tissue,right_tissue,overlap_trace,normalized_overlap_trace,invariant_normalized_overlap,invariant_overlap_rank,overlap_effective_rank,minimum_overlap_eigenvalue,maximum_overlap_eigenvalue,unweighted_head_distance,average_moment_head_energy,overlap_weighted_head_energy,supported_contrast_fraction,selected_coupling,pairwise_penalty_contribution,overlap_eigenvalue_1,overlap_eigenvalue_2,overlap_eigenvalue_3,overlap_eigenvalue_4,overlap_eigenvalue_5,overlap_eigenvalue_6,overlap_eigenvalue_7,overlap_eigenvalue_8,response,test_fold,cv_repeat
brain_frontal_cortex_ba9,brain_putamen_basal_ganglia,3.3961396700832,0.4817592885369876,0.7440623866881081,8,3.907637140741779,0.0172979444062848,1.4143815673641018,0.2079432599237554,0.1902660475284751,0.1191561385541372,0.6262606497688682,0.1,0.0001083237623219,1.4143815673641018,0.7341662609130354,0.4401152172563341,0.4049303152367585,0.1704585455821607,0.1392356698579323,0.075554149466592,0.0172979444062848,JAM2,0,0
brain_frontal_cortex_ba9,brain_spinal_cord_cervical_c-1,3.5450886524160063,0.5547254218906554,0.6963178848242491,8,3.811884625809186,0.0202497009070268,1.5074033205015036,0.3720230875699898,0.3489907087116514,0.1607055443364265,0.4604865984246222,0.1,0.0001460959493967,1.5074033205015036,0.776724512662106,0.4639145726168519,0.3862081902310235,0.1780384164993279,0.1404083727358114,0.072141566262355,0.0202497009070268,JAM2,0,0
brain_hypothalamus,brain_nucleus_accumbens_basal_ganglia,4.141197251826711,0.5669053451182013,0.7870074968352616,8,3.157217732529743,0.0232182008822881,2.1120172471154315,0.1888467623769821,0.1900314389466027,0.1099510974263542,0.5785942475405326,0.1,9.995554311486752e-05,2.1120172471154315,0.6990605942287947,0.5183545714368326,0.3723835778491751,0.2423639636562066,0.1068764906362849,0.0669226060216968,0.0232182008822881,JAM2,0,0
brain_hypothalamus,brain_putamen_basal_ganglia,3.514302147178574,0.4766012646466132,0.7370087753393448,8,3.902665115865508,0.020042427291794,1.491893060392514,0.1730383444544631,0.3187805331941158,0.1220520943573559,0.3828718558640292,0.1,0.0001109564494157,1.491893060392514,0.6412703624279655,0.5431228897808944,0.4054696042101435,0.2217262415493196,0.110606052855123,0.0801715086708196,0.020042427291794,JAM2,0,0
brain_hypothalamus,brain_spinal_cord_cervical_c-1,4.309100270889783,0.6417194124949787,0.7596780655215098,8,3.6780468976782728,0.0239085460581056,1.8511587527665847,0.1506796395176369,0.233528565099122,0.1445511004474748,0.618986805259218,0.1,0.0001314100913158,1.8511587527665847,0.9894844463245648,0.656173958041445,0.3821186675708103,0.2146213997831749,0.117979654840392,0.0736548455047055,0.0239085460581056,JAM2,0,0
brain_nucleus_accumbens_basal_ganglia,brain_putamen_basal_ganglia,5.33763649651066,0.6483087269390997,0.8296306263522182,8,2.1773497498493994,0.0256259150517542,3.5120302517943784,0.1079067237224811,0.0630317910196067,0.0510457028827951,0.8098405908681356,0.1,4.640518443890471e-05,3.5120302517943784,0.5712610384970175,0.4550010954761537,0.4055815799595365,0.1892822128185252,0.099031547506696,0.0798228554065986,0.0256259150517542,JAM2,0,0
brain_nucleus_accumbens_basal_ganglia,brain_spinal_cord_cervical_c-1,3.626250379567697,0.478749184725266,0.681850448846653,8,3.3080293399958625,0.0332796670991388,1.7957005861584947,0.2283152470106341,0.22757583351061,0.0963997625722314,0.4235940217603867,0.1,8.76361477929377e-05,1.7957005861584947,0.548614197294243,0.5037629803553968,0.3792349063693837,0.1827030857419571,0.1107724143197082,0.0721825422293742,0.0332796670991388,JAM2,0,0
brain_putamen_basal_ganglia,brain_spinal_cord_cervical_c-1,4.239911464552673,0.5547312321235861,0.7196993138773182,8,2.9940850143753024,0.0266192658591317,2.254159355012073,0.0771061426260174,0.0799875906619256,0.0412149675951322,0.515267021472504,0.1,3.7468152359211166e-05,2.254159355012073,0.6395409463953581,0.5660447177721761,0.3752597576459883,0.1773760837354878,0.1125821098934261,0.0883292282390308,0.0266192658591317,JAM2,0,0
brain_amygdala,brain_anterior_cingulate_cortex_ba24,1.0381496126521432,0.37663427331086,0.6421364775285958,8,3.5482600194014844,0.0210613158412625,0.4928498260508293,0.1918109096588068,0.0872198203447092,0.02843482804101,0.3260133754991718,1.0,0.0002584984367364,0.4928498260508293,0.1690156811010879,0.129575482033883,0.0856337338409042,0.0735861124115157,0.0397990396238326,0.0266284217488277,0.0210613158412625,JAM2,1,0
brain_amygdala,brain_caudate_basal_ganglia,0.9362718384698804,0.3439638925122394,0.6584566865591694,8,4.40932061917125,0.0204000744567404,0.3699647636402854,0.169032907258597,0.1311139792250938,0.026333291325213,0.2008427437016811,1.0,0.0002393935575019,0.3699647636402854,0.1692322044162654,0.1141270252737437,0.098912327697315,0.0808429217529955,0.048680745537941,0.0341117756945935,0.0204000744567404,JAM2,1,0
brain_amygdala,brain_cerebellar_hemisphere,0.6852914376569086,0.2240819561041384,0.5386082520542212,8,3.928109622512204,0.0141354300544051,0.2872959576805251,0.1375843853676223,0.0311388140583837,0.0103231446280097,0.331520160294298,1.0,9.384676934554296e-05,0.2872959576805251,0.1589826135155747,0.0709458087365342,0.052036363722882,0.0482009933776327,0.0310055852774858,0.0226886852918686,0.0141354300544051,JAM2,1,0
brain_amygdala,brain_cerebellum,0.7782788503358276,0.2962773695522667,0.6286489250912459,8,3.623733240848972,0.0195771822603893,0.3584567761163074,0.188564055211322,0.0610097163504658,0.02158524175273,0.3538000673324756,1.0,0.0001962294704793,0.3584567761163074,0.1512118828788345,0.0950423165742653,0.0521114108894609,0.0452517612586117,0.0309370136400182,0.0256905067179399,0.0195771822603893,JAM2,1,0
brain_amygdala,brain_cortex,0.8040391094383467,0.3152636715571477,0.6179506654019142,8,4.185853856970101,0.0204161914454821,0.334188647899282,0.1141967440054013,0.0487806229205624,0.0096641709476736,0.1981149556743349,1.0,8.785609952430607e-05,0.334188647899282,0.1298719553681523,0.1179973332502459,0.0726938920310042,0.0644186374488912,0.0368921021370934,0.0275603498581954,0.0204161914454821,JAM2,1,0
brain_amygdala,brain_frontal_cortex_ba9,0.8213615717148961,0.3121185163504406,0.598385898431471,8,4.589255497626274,0.0217337002109188,0.3076511014630526,0.1525467558842839,0.1083896055659986,0.022338779552436,0.2060970647119289,1.0,0.000203079814113,0.3076511014630526,0.1548733042053651,0.1155459125652445,0.0883689973222327,0.0674775209137631,0.0362973457383205,0.0294136892959985,0.0217337002109188,JAM2,1,0
