cv_repeat,response,method,task_balanced_standardized_mse,task_balanced_raw_mse,tissues
11,SH2D2A,FLARCC,0.7143116559483828,0.058809140223861106,11
11,SH2D2A,HPS,0.7399007712841719,0.06030078305091588,11
11,SH2D2A,MMoE,0.7749898960723661,0.06263156070420607,11
11,SH2D2A,Pool,0.661834131928789,0.055344343103015545,11
11,SH2D2A,STL,0.8263965258322162,0.06634132044679275,11
12,JAM2,ARMUL,0.2784899476470391,0.06804884387651658,11
12,JAM2,COVER,0.2736021145352561,0.06660963193162918,11
12,JAM2,FLARCC,0.2820336346414679,0.06896014837601139,11
12,JAM2,HPS,0.27929647150098863,0.06817579865158498,11
12,JAM2,MMoE,0.2940841138797275,0.07238310793726127,11
12,JAM2,Pool,0.31480605182098487,0.07687554731737466,11
12,JAM2,STL,0.31464367626686857,0.07705228986076312,11
12,SH2D2A,ARMUL,0.7009919284419374,0.06048259514026338,11
12,SH2D2A,COVER,0.6856455422425615,0.05862873424950481,11
12,SH2D2A,FLARCC,0.6852225604915861,0.05854844643537085,11
12,SH2D2A,HPS,0.6787765516564414,0.057970060378481444,11
12,SH2D2A,MMoE,0.7367577692061531,0.06339966665616226,11
12,SH2D2A,Pool,0.6821078593919837,0.059502787245092816,11
12,SH2D2A,STL,0.7875223285479894,0.06662710078590856,11
13,JAM2,ARMUL,0.2997813468955908,0.0719200256114913,11
13,JAM2,COVER,0.2952952990402238,0.07079629722284543,11
13,JAM2,FLARCC,0.3076376305082548,0.07388148162453329,11
