cv_repeat,response,method,tissue,standardized_sse,raw_sse,test_samples,standardized_mse,raw_mse
1,JAM2,COVER,brain_putamen_basal_ganglia,40.20651210132683,9.601955875287917,205,0.19612932732354552,0.046838809147745936
1,JAM2,COVER,brain_spinal_cord_cervical_c-1,27.137491309696003,15.202060899405918,159,0.17067604597293085,0.09561044590821333
1,JAM2,FLARCC,brain_amygdala,38.69068365235621,11.112459281028688,152,0.25454397139708035,0.0731082847436098
1,JAM2,FLARCC,brain_anterior_cingulate_cortex_ba24,76.2635314965183,12.42496233328688,176,0.43331551986658123,0.07059637689367546
1,JAM2,FLARCC,brain_caudate_basal_ganglia,53.145814706156614,12.665189915052387,246,0.21603989717949842,0.05148451184980645
1,JAM2,FLARCC,brain_cerebellar_hemisphere,28.35442541797824,8.35184158158307,215,0.13188104845571275,0.03884577479806079
1,JAM2,FLARCC,brain_cerebellum,51.483992655924716,11.093636423864933,241,0.2136265255432561,0.046031686406078555
1,JAM2,FLARCC,brain_cortex,108.4429554455386,19.899388303742963,255,0.42526649194328864,0.07803681687742338
1,JAM2,FLARCC,brain_frontal_cortex_ba9,93.4484371734937,14.472516083010063,209,0.4471217089640847,0.06924648843545485
1,JAM2,FLARCC,brain_hypothalamus,60.800705805087404,17.62523832303149,202,0.3009935930944921,0.08725365506451233
1,JAM2,FLARCC,brain_nucleus_accumbens_basal_ganglia,71.13864560977316,21.17282925225133,246,0.2891814862185901,0.0860684115945176
1,JAM2,FLARCC,brain_putamen_basal_ganglia,41.55843041610367,9.905651209384924,205,0.2027240508102618,0.04832024980187768
1,JAM2,FLARCC,brain_spinal_cord_cervical_c-1,28.193245214362605,15.788050190743977,159,0.17731600763750066,0.09929591314933318
1,JAM2,HPS,brain_amygdala,35.90848161232259,10.29427160263035,152,0.23624001060738545,0.06772547106993651
1,JAM2,HPS,brain_anterior_cingulate_cortex_ba24,76.75248026851777,12.419145205514857,176,0.4360936378893055,0.07056332503133442
1,JAM2,HPS,brain_caudate_basal_ganglia,50.9431078213426,12.119927619398045,246,0.2070858041517992,0.04926799845283758
1,JAM2,HPS,brain_cerebellar_hemisphere,28.010935849610064,8.246262918765481,215,0.13028342255632588,0.038354711250072004
1,JAM2,HPS,brain_cerebellum,51.658032547588626,11.195656682847066,241,0.2143486827700773,0.04645500698276791
1,JAM2,HPS,brain_cortex,107.77787089450206,19.734195009889476,255,0.4226583172333414,0.07738900003878225
1,JAM2,HPS,brain_frontal_cortex_ba9,91.79155022138508,14.239054842932452,209,0.43919402019801473,0.06812944900924618
1,JAM2,HPS,brain_hypothalamus,58.95931711204997,17.093550844165613,202,0.29187780748539593,0.08462153883250303
1,JAM2,HPS,brain_nucleus_accumbens_basal_ganglia,69.46533615243476,20.562934365032138,246,0.28237941525379984,0.08358916408549649
1,JAM2,HPS,brain_putamen_basal_ganglia,42.00588928129501,10.042439753439506,205,0.20490677698192689,0.04898751099238784
1,JAM2,HPS,brain_spinal_cord_cervical_c-1,26.492191529276372,14.839716086412603,159,0.16661755678790172,0.0933315477132868
1,JAM2,MMoE,brain_amygdala,50.8814891868901,14.59082381330691,152,0.3347466393874349,0.09599226192965073
1,JAM2,MMoE,brain_anterior_cingulate_cortex_ba24,75.1613589497449,12.14450451887043,176,0.42705317585082325,0.06900286658449108
1,JAM2,MMoE,brain_caudate_basal_ganglia,54.00973405789098,12.78669652670247,246,0.21955176446297148,0.05197844116545719
1,JAM2,MMoE,brain_cerebellar_hemisphere,25.801687353694085,7.608620326686879,215,0.12000784815671667,0.03538893175203199
1,JAM2,MMoE,brain_cerebellum,54.93484810760165,11.795139606457273,241,0.227945427832372,0.04894248799359864
1,JAM2,MMoE,brain_cortex,104.39733032430323,19.339745497287005,255,0.40940129538942444,0.07584213920504708
1,JAM2,MMoE,brain_frontal_cortex_ba9,99.0479360363791,15.431688744178675,209,0.4739135695520531,0.0738358313118597
1,JAM2,MMoE,brain_hypothalamus,66.84279379384778,19.36398166374807,202,0.33090491977152364,0.09586129536508946
1,JAM2,MMoE,brain_nucleus_accumbens_basal_ganglia,71.19405103926438,21.19790143968669,246,0.28940671154172515,0.08617033105563694
1,JAM2,MMoE,brain_putamen_basal_ganglia,35.55602696487429,8.48906463584595,205,0.17344403397499655,0.04141007139437048
1,JAM2,MMoE,brain_spinal_cord_cervical_c-1,34.549820973029796,19.290194894120223,159,0.21729447152848927,0.12132198046616492
1,JAM2,Pool,brain_amygdala,49.34981269764215,14.353485614706564,152,0.32466982037922465,0.09443082641254319
1,JAM2,Pool,brain_anterior_cingulate_cortex_ba24,84.60232759800171,13.790157397773031,176,0.48069504317046424,0.07835316703280132
1,JAM2,Pool,brain_caudate_basal_ganglia,63.601623459475846,15.046713839489506,246,0.25854318479461724,0.06116550341255897
1,JAM2,Pool,brain_cerebellar_hemisphere,35.67637936649379,10.533490673048659,215,0.16593664821625018,0.048992979874644925
1,JAM2,Pool,brain_cerebellum,75.06499298866437,16.114193213649088,241,0.3114729999529642,0.06686387225580534
1,JAM2,Pool,brain_cortex,116.74338008155647,21.537060788046084,255,0.4578171767904175,0.08445906191390622
1,JAM2,Pool,brain_frontal_cortex_ba9,95.13129992027113,14.607949766581523,209,0.4551736838290485,0.06989449649082069
1,JAM2,Pool,brain_hypothalamus,56.8059788674072,16.43255471684149,202,0.2812177171653822,0.08134928077644302
1,JAM2,Pool,brain_nucleus_accumbens_basal_ganglia,75.48908275317689,22.37507414195228,246,0.3068661900535646,0.09095558594289545
1,JAM2,Pool,brain_putamen_basal_ganglia,45.542251602573145,10.85962225679414,205,0.22215732489060072,0.05297376710631287
1,JAM2,Pool,brain_spinal_cord_cervical_c-1,30.10801671491941,16.8233872749054,159,0.18935859569131702,0.10580746713776981
