response,tissue,method,repeats,mse_mean,mse_sd
SH2D2A,brain_putamen_basal_ganglia,COVER,20,0.5236210527185045,0.04816930758152045
SH2D2A,brain_putamen_basal_ganglia,FLARCC,20,0.5359584312871986,0.04784496441137249
SH2D2A,brain_putamen_basal_ganglia,HPS,20,0.5403860168737249,0.04153929575297079
SH2D2A,brain_putamen_basal_ganglia,MMoE,20,0.5540194526582162,0.056778108610003396
SH2D2A,brain_putamen_basal_ganglia,Pool,20,0.5351155990753881,0.04471205804342326
SH2D2A,brain_putamen_basal_ganglia,STL,20,0.5959878684412473,0.0668273708810015
SH2D2A,brain_spinal_cord_cervical_c-1,ARMUL,20,0.6295339147141036,0.0572253223370518
SH2D2A,brain_spinal_cord_cervical_c-1,COVER,20,0.6092277746698377,0.03504330484557737
SH2D2A,brain_spinal_cord_cervical_c-1,FLARCC,20,0.6194235244355892,0.03392964666521869
SH2D2A,brain_spinal_cord_cervical_c-1,HPS,20,0.6170136839976982,0.03903000966481288
SH2D2A,brain_spinal_cord_cervical_c-1,MMoE,20,0.6359941144705383,0.06247516363508137
SH2D2A,brain_spinal_cord_cervical_c-1,Pool,20,0.6316634269364216,0.04476712292076701
SH2D2A,brain_spinal_cord_cervical_c-1,STL,20,0.6353635766929743,0.034641874273596863
