axis,value,method,excess_mse_n,excess_mse_mean,excess_mse_sd,excess_mse_se,deviation_mse_n,deviation_mse_mean,deviation_mse_sd,deviation_mse_se,selected_coupling_n,selected_coupling_mean,selected_coupling_sd,selected_coupling_se,normalized_overlap_strength_n,normalized_overlap_strength_mean,normalized_overlap_strength_sd,normalized_overlap_strength_se,overlap_energy_n,overlap_energy_mean,overlap_energy_sd,overlap_energy_se,supported_contrast_fraction_n,supported_contrast_fraction_mean,supported_contrast_fraction_sd,supported_contrast_fraction_se
covariate,0.3,COVER,100,0.2737280070193563,0.010079706057955188,0.0010079706057955187,100,0.23267002101066833,0.009348960792072387,0.0009348960792072387,100,1.9178,10.561063286306627,1.0561063286306627,100,0.9585805554632381,0.00025625405953665385,2.5625405953665384e-05,100,1.6168128175927043,0.0051206815365156194,0.0005120681536515619,100,0.8898642461882923,0.001574464600062844,0.00015744646000628442
covariate,0.3,HPS,100,0.28354744939081367,0.011321200786115072,0.0011321200786115072,100,0.24583427703365857,0.01131970694096034,0.001131970694096034,100,0.0,0.0,0.0,100,0.9585805554632381,0.00025625405953665385,2.5625405953665384e-05,100,1.6168128175927043,0.0051206815365156194,0.0005120681536515619,100,0.8898642461882923,0.001574464600062844,0.00015744646000628442
covariate,1.0,Average-Moment,100,0.4159377453397164,0.015363079022729102,0.0015363079022729102,100,0.2998304288664645,0.013426427921487903,0.0013426427921487904,100,0.4214,3.002006406496572,0.30020064064965724,100,0.9989888291540869,3.737505768107603e-05,3.737505768107603e-06,100,2.170937588718084,0.004770920487948734,0.0004770920487948734,100,0.9981473907719974,0.00017667087018215629,1.766708701821563e-05
covariate,1.0,COVER,100,0.4158895291943513,0.014817542120632294,0.0014817542120632294,100,0.3002350650763245,0.013217416826124328,0.0013217416826124327,100,0.1648,0.41778028153128965,0.04177802815312896,100,0.9989888291540869,3.737505768107603e-05,3.737505768107603e-06,100,2.170937588718084,0.004770920487948734,0.0004770920487948734,100,0.9981473907719974,0.00017667087018215629,1.766708701821563e-05
covariate,1.0,HPS,100,0.43311431769425274,0.018572209778647628,0.0018572209778647628,100,0.3060486749241105,0.016325692267913538,0.0016325692267913539,100,0.0,0.0,0.0,100,0.9989888291540869,3.737505768107603e-05,3.737505768107603e-06,100,2.170937588718084,0.004770920487948734,0.0004770920487948734,100,0.9981473907719974,0.00017667087018215629,1.766708701821563e-05
posterior,0.0,Average-Moment,100,0.05937405541239234,0.00396569898437782,0.000396569898437782,100,0.04752605699999033,0.004013133704672555,0.0004013133704672555,100,0.38299999999999995,0.3259965296958503,0.03259965296958503,100,0.16591711916998875,3.1023198257389636e-05,3.1023198257389636e-06,100,0.0314108173912028,2.632502345191577e-06,2.632502345191577e-07,100,0.2923895580538378,2.269703541346474e-05,2.269703541346474e-06
posterior,0.0,COVER,100,0.059421385221542694,0.003950779882881594,0.0003950779882881594,100,0.04646055362867731,0.005001555994792278,0.0005001555994792277,100,0.85,1.0364566678074023,0.10364566678074023,100,0.16591711916998875,3.1023198257389636e-05,3.1023198257389636e-06,100,0.0314108173912028,2.632502345191577e-06,2.632502345191577e-07,100,0.2923895580538378,2.269703541346474e-05,2.269703541346474e-06
posterior,0.0,HPS,100,0.07360715810653759,0.005339400737566501,0.0005339400737566501,100,0.07613182723606025,0.0067197112544390165,0.0006719711254439016,100,0.0,0.0,0.0,100,0.16591711916998875,3.1023198257389636e-05,3.1023198257389636e-06,100,0.0314108173912028,2.632502345191577e-06,2.632502345191577e-07,100,0.2923895580538378,2.269703541346474e-05,2.269703541346474e-06
posterior,0.25,Average-Moment,100,0.06364044185144589,0.004115840097695213,0.0004115840097695213,100,0.0865349039536421,0.006875437154787647,0.0006875437154787647,100,0.321,0.1200126255984357,0.01200126255984357,100,0.16591711916998875,3.1023198257389636e-05,3.1023198257389636e-06,100,0.0321836547752066,5.985577119128712e-06,5.985577119128712e-07,100,0.17474125385310274,3.127091116095169e-05,3.1270911160951693e-06
posterior,0.25,COVER,100,0.0634633345065875,0.0042139734636012175,0.00042139734636012174,100,0.08695492138080242,0.006529538780136983,0.0006529538780136984,100,0.838,0.9848119340536777,0.09848119340536778,100,0.16591711916998875,3.1023198257389636e-05,3.1023198257389636e-06,100,0.0321836547752066,5.985577119128712e-06,5.985577119128712e-07,100,0.17474125385310274,3.127091116095169e-05,3.1270911160951693e-06
